player_name,team,position,nation,pass_accuracy,passes_attempted,passes_completed,cross_accuracy,crosses_attempted,crosses_completed,free_kicks
Paul Wanner,PSV,UNKNOWN,AUT,85.67,98.0,80.0,0.0,1.0,0.0,1.0
Kamiel Van De Perre,Union SG,UNKNOWN,BEL,85.63,245.0,213.0,100.0,1.0,1.0,7.0
Alfonso Pedraza,Villarreal,WINGER,ESP,85.6,107.0,96.0,23.81,21.0,5.0,1.0
Jurriën Timber,Arsenal,FULL_BACK,NED,85.58,234.0,202.0,10.0,10.0,1.0,4.0
Abdülkerim Bardakcı,Galatasaray,CENTRE_BACK,TUR,85.55,518.0,446.0,40.0,5.0,2.0,20.0
Fermín López,Barcelona,CENTRAL_MIDFIELDER,ESP,85.45,285.0,247.0,37.5,8.0,3.0,2.0
Nicolò Barella,Inter,CENTRAL_MIDFIELDER,ITA,85.38,386.0,329.0,30.77,26.0,8.0,8.0
Christian Burgess,Union SG,UNKNOWN,ENG,85.38,275.0,235.0,0.0,1.0,0.0,15.0
Alejandro Grimaldo,Leverkusen,FULL_BACK,ESP,85.34,713.0,608.0,24.62,65.0,16.0,17.0
Mamadou Coulibaly,Monaco,UNKNOWN,FRA,85.34,224.0,187.0,0.0,3.0,0.0,6.0
Christos Zafeiris,Slavia Praha,UNKNOWN,GRE,85.34,130.0,109.0,0.0,5.0,0.0,13.0
Tijjani Reijnders,Man City,CENTRAL_MIDFIELDER,NED,85.3,334.0,300.0,22.73,22.0,5.0,9.0
Davy Klaassen,Ajax,ATTACKING_MIDFIELDER,NED,85.25,198.0,172.0,0.0,2.0,0.0,6.0
Enzo Fernández,Chelsea,UNKNOWN,ARG,85.2,435.0,377.0,11.12,18.0,2.0,11.0
Matt O'Riley,Marseille,UNKNOWN,DEN,85.15,182.0,160.0,33.34,3.0,1.0,6.0
Giovanni Di Lorenzo,Napoli,FULL_BACK,ITA,85.0,388.0,343.0,9.1,11.0,1.0,12.0
Samuel Dahl,Benfica,UNKNOWN,SWE,85.0,346.0,295.0,25.0,12.0,3.0,10.0
Rayan Cherki,Man City,UNKNOWN,FRA,85.0,300.0,258.0,20.0,20.0,4.0,6.0
Andoni Gorosabel,Athletic Club,FULL_BACK,ESP,85.0,162.0,135.0,16.67,12.0,2.0,1.0
Luis Guilherme,Sporting CP,FORWARD,BRA,85.0,34.0,29.0,42.86,7.0,3.0,1.0
Javier Galán,Atleti,UNKNOWN,ESP,85.0,34.0,29.0,0.0,1.0,0.0,1.0
Gianluigi Donnarumma,Man City,GOALKEEPER,ITA,84.89,232.0,198.0,0.0,0.0,0.0,16.0
Aitor Paredes,Athletic Club,UNKNOWN,ESP,84.86,315.0,271.0,0.0,1.0,0.0,12.0
Edon Zhegrova,Juventus,WINGER,KOS,84.84,72.0,61.0,33.34,9.0,3.0,3.0
Adilet Sadybekov,Kairat Almaty,UNKNOWN,KAZ,84.8,75.0,64.0,100.0,1.0,1.0,7.0
Nahuel Molina,Atleti,UNKNOWN,ARG,84.78,268.0,224.0,20.0,10.0,2.0,5.0
Roland Sallai,Galatasaray,UNKNOWN,HUN,84.75,424.0,364.0,28.13,32.0,9.0,11.0
Gabriel Sara,Galatasaray,UNKNOWN,BRA,84.75,377.0,318.0,33.97,53.0,18.0,24.0
Myles Lewis-Skelly,Arsenal,UNKNOWN,ENG,84.75,239.0,209.0,25.0,8.0,2.0,5.0
Jorne Spileers,Club Brugge,UNKNOWN,BEL,84.75,36.0,33.0,0.0,0.0,0.0,1.0
Lucas Bergvall,Tottenham,UNKNOWN,SWE,84.72,97.0,81.0,0.0,8.0,0.0,3.0
Davide Zappacosta,Atalanta,FULL_BACK,ITA,84.7,353.0,299.0,37.84,37.0,14.0,7.0
Jens Petter Hauge,Bodø/Glimt,UNKNOWN,NOR,84.67,490.0,412.0,27.28,11.0,3.0,2.0
Marko Janković,Qarabağ,WINGER,MNE,84.67,456.0,389.0,33.34,15.0,5.0,24.0
Ibrahim Maza,Leverkusen,UNKNOWN,ALG,84.67,320.0,269.0,38.89,18.0,7.0,1.0
Nany Dimata,Pafos,STRIKER,BEL,84.67,25.0,21.0,0.0,1.0,0.0,1.0
Pêpê,Pafos,WINGER,POR,84.63,345.0,293.0,57.15,7.0,4.0,19.0
Alejandro Rego,Athletic Club,MIDFIELDER,ESP,84.63,198.0,162.0,0.0,1.0,0.0,5.0
Maximiliano Araújo,Sporting CP,UNKNOWN,URU,84.56,305.0,258.0,25.93,27.0,7.0,8.0
André Luiz,Olympiacos,UNKNOWN,BRA,84.5,20.0,17.0,0.0,2.0,0.0,0.0
